Facility Name,City,County,State,Major/Non-Major Status,Facility Latitude,Facility Longitude,SIC Description,Watershed Name,Total Pounds (lb/yr),Load Over Limit,Total TWPE (lb-eq/yr),TWPE Over Limit,Avg Concentration (mg/L),Max Concentration (mg/L),Average Flow (MGD),Percent People of Color (3 mi),Percent Low Income (3 mi),FRS Spatially Derived Tribe,Population Density
US ARMY FORT CARSON,FT CARSON,EL PASO,CO,Non-Major,38.753333,-104.765556,NATIONAL SECURITY,Cheyenne Mountain,0,0,0,0,0.001766667,0.0053,,44.28,33.41,,2221.1
GREELEY WWTP,GREELEY,WELD,CO,Major,40.423628,-104.676788,SEWERAGE SYSTEMS,Outlet Cache La Poudre River,0,0,0,0,0,0,2.604166667,57.86,48.82,,1989.88
ERIE NORTH WATER RECLAMATION FACILITY,WELD COUNTY,WELD,CO,Major,40.087622,-105.046857,SEWERAGE SYSTEMS,Outlet Boulder Creek,0,0,0,0,0,0,1.85975,24.93,12.45,,204.62
HILL-N-PARK STP,GREELEY,WELD,CO,Non-Major,40.363506,-104.733179,SEWERAGE SYSTEMS,Ashcroft Draw-South Platte River,0,0,0,0,0,0,1.6245,47.28,37.06,,1618.79
USFWS-ROCKY MOUNTAIN ARSENAL NWR,COMMERCE CITY,ADAMS,CO,Non-Major,39.80747,-104.89577,WATER SUPPLY,City of Thornton-South Platte River,0,0,0,0,0,0,,68.01,34.97,,1114.97
MILLIKEN REVERSE OSMOSIS WTP,MILLIKEN,WELD,CO,Non-Major,40.31937,-104.86397,WATER SUPPLY,Outlet Little Thompson River,0,0,0,0,0,0,0.080125,30.45,24.7,,341.13
SOUTHWEST WWTF,CORTEZ,MONTEZUMA,CO,Major,37.321944,-108.606111,SEWERAGE SYSTEMS,Highline Ditch-McElmo Creek,0,0,0,0,0,0,0.816057143,34.89,40.29,"Ute Mountain Ute Tribe - 3.9 mile(s), Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado - 17.9 mile(s), Navajo Nation, Arizona, New Mexico, & Utah - 22.3 mile(s)",272.15
GLENWOOD SPRINGS WWTF,GLENWOOD SPRINGS,GARFIELD,CO,Major,39.557271,-107.353458,SEWERAGE SYSTEMS,South Canyon Creek-Colorado River,0,0,0,0,0,0,0.809799429,42.56,27.71,,319.91
CITY OF BRIGHTON WWTP,BRIGHTON,ADAMS,CO,Major,39.99,-104.825,SEWERAGE SYSTEMS,Third Creek,0,0,0,0,0,0,1.323285714,44.45,23.68,,1050.96
SAN LUIS GOLD,SAN LUIS,COSTILLA,CO,Non-Major,37.2536,-105.349722,GOLD ORES,Rito Seco,0,0,0,0,0,0,0.1325,66.28,52.33,,0.18
BIG DRY CREEK WWTP,WESTMINSTER,ADAMS,CO,Major,39.93756,-104.99496,SEWERAGE SYSTEMS,Middle Big Dry Creek,0,0,0,0,0,0,3.981904762,34.64,17.73,,3131.14
FOXRIDGE FARMS MHP-CHLORINATOR FOR DENVER WEST WELL,AURORA,ARAPAHOE,CO,Non-Major,39.73975,-104.66913,SEWERAGE SYSTEMS,First Creek,0,0,0,0,0,0,0.1499,48.9,9.87,,103.01
VAIL WWTP,VAIL,EAGLE,CO,Major,39.64159,-106.39398,SEWERAGE SYSTEMS,Lower Gore Creek,0,0,0,0,0,0,1.47625,6.78,21.36,,145.01
SILVER BELL TAILINGS,OPHIR,SAN MIGUEL,CO,Non-Major,37.863611,-107.875111,"METAL ORES, NEC",Howard Fork,0,0,0,0,0,0,0.000988095,16.25,28.9,,11.43
CRIPPLE CREEK & VICTOR GOLD MINING CO,VICTOR,TELLER,CO,Major,38.721672,-105.157514,GOLD ORES,Cripple Creek-Four Mile Creek,0,0,0,0,0,0,1.895,24.37,41.7,,61.57
METRO WASTEWATER RECLAMATION DIST/TRIGEN,DENVER,ADAMS,CO,Major,39.81497,-104.95923,SEWERAGE SYSTEMS,Cherry Creek-South Platte River,0,0,0,0,0,0,135.1142857,71.88,35.5,,2453.19
RUBY TRUST MINE,OURAY COUNTY,OURAY,CO,Non-Major,37.982556,-107.761361,GOLD ORES,Canyon Creek,0,0,0,0,0,0,0.492857143,4.15,23,,2.53
LEPRINO GREELEY FACILITY WWTF,WELD COUNTY,WELD,CO,Non-Major,40.418961,-104.673213,"CHEESE, NATURAL AND PROCESSED",Outlet Cache La Poudre River,0,0,0,0,0,0,0.770566667,58.06,49.76,,1989.88
EDWARDS WWTF,EDWARDS,EAGLE,CO,Major,39.654444,-106.625833,SEWERAGE SYSTEMS,Squaw Creek-Eagle River,0,0,0,0,0,0,1.025428571,38.6,24.3,,311.38
CITY OF LONGMONT WASTEWATER TREATMENT PLANT,LONGMONT,BOULDER,CO,Major,40.157778,-105.095833,SEWERAGE SYSTEMS,McIntosh Lake-Saint Vrain Creek,0,0,0,0,0,0,3.585714286,33.99,22.65,,2418.27
US BUREAU OF RECLAMATION LEADVILLE DRAINAGE TUNNEL,LOVELAND,LARIMER,CO,Major,40.370771,-105.23643,"LAND, MIN, WILDLIFE/FOREST CON",Dry Creek,0,0,0,0,0,0,1.75,10.35,9.95,,34.55
MONTE VISTA CITY OF,MONTE VISTA,RIO GRANDE,CO,Major,37.581969,-106.12995,SEWERAGE SYSTEMS,City of Monte Vista-Rio Grande,0,0,0,0,0,0,0.478,62.71,33.09,,197.51
SAFETY KLEEN CORP  ENGLEWOOD BRANCH,ENGLEWOOD,ARAPAHOE,CO,Non-Major,39.66563,-105.01104,REFUSE SYSTEMS,1.02E+11,0,0,0,0,0,0,,48.14,28.73,,5028.83
GYPSUM WWTF,GYPSUM,EAGLE,CO,Non-Major,39.651261,-106.963561,SEWERAGE SYSTEMS,Outlet Eagle River,0,0,0,0,0,0,0.599142857,54.45,31.71,,211.57
LONDON MINE EXTENSION TUNNEL,FAIRPLAY,PARK,CO,Major,39.273,-106.145,GOLD ORES,Mosquito Creek,0,0,0,0,0,0,1.447857143,12.31,23.3,,4.96
CITY OF MONTROSE WASTEWATER TREATMENT PLANT,MONTROSE,MONTROSE,CO,Major,38.511842,-107.913572,SEWERAGE SYSTEMS,Outlet Uncompahgre River,0,0,0,0,0,0,1.92,34.43,43.05,,226.34
FORT LUPTON WWTF,FORT LUPTON,WELD,CO,Major,40.08384,-104.82462,SEWERAGE SYSTEMS,City of Fort Lupton-South Platte River,0,0,0,0,0,0,2.068571429,58.44,35.94,,292.2
JAMES R DILORIO WATER RECLAMATION FACILITY,PUEBLO,PUEBLO,CO,Major,38.25657,-104.57752,SEWERAGE SYSTEMS,City of Fearnowville-Arkansas River,0,0,0,0,0,0,10.8,60.59,51.08,,1669.4
BROOMFIELD WWTP,BROOMFIELD,BROOMFIELD,CO,Major,39.9213,-105.02351,SEWERAGE SYSTEMS,Middle Big Dry Creek,0,0,0,0,0,0,2.884928571,32.15,17.19,,3720.3
SUPERIOR METROPOLITAN DIST NO1,SUPERIOR,BOULDER,CO,Major,39.93796,-105.14164,SEWERAGE SYSTEMS,Middle Coal Creek,0,0,0,0,0,0,0.594857143,22.48,12.97,,1104.01
