REF_SHORT_NAME,REF_SUBMITTER,REF_LINK,REF_STATE,REF_LOCALE,REF_SAMPLES,REF_NGDB,REF_SYSTEM,REF_DEPOSIT_TYPE,REF_CITATION,REF_DATE_PUBL,REF_TITLE,REF_AUTHORS
Olinger_2019,"Hofstra, Albert H.",https://doi.org/10.5066/P9634NRU,California-Wyoming,"Bear Lodge alkaline complex, Crook Co.; Mountain Pass, San Bernardino Co.",137,NO,Magmatic REE,Carbonatite,"Olinger, Danielle A., 2019, Carbonatite whole-rock and calcite geochemistry from the Bear Lodge alkaline complex, Wyoming and Mountain Pass mine, California: U.S. Geological Survey data release, accessed May 21, 2021 at https://doi.org/10.5066/P9634NRU.",2019,"Carbonatite whole-rock and calcite geochemistry from the Bear Lodge alkaline complex, Wyoming and Mountain Pass mine, California","Olinger, Danielle A."
ONeill_2014,"Hofstra, Albert H.",,Texas,"Sierra Blanca Peaks, Trans-Pecos",14,NO,Climax-type,REE rich rhyolite,"O'Neill, Laurie C., 2014, REE-Be-U-F mineralization of the Round Top laccolith, Sierra Blanca Peaks, Trans-Pecos Texas: Austin, University of Texas, M.S. thesis, 231 p.",2014,"REE-Be-U-F mineralization of the Round Top laccolith, Sierra Blanca Peaks, Trans-Pecos Texas","O'Neill, Laurie C."
Osterberg_1990,"Hofstra, Albert H.",https://repository.arizona.edu/handle/10150/187550,Nevada,"Chimney Creek gold deposit, Humboldt Co.",326,NO,Carlin-type,Au,"Osterberg, Mark W., 1990, Geology and geochemistry of the Chimney Creek gold deposit, Humboldt County, Nevada: Tucson, University of Arizona, Ph.D dissertation; 173 p., accessed May 21, 2021 at https://repository.arizona.edu/handle/10150/187550.",1990,"Geology and geochemistry of the Chimney Creek gold deposit, Humboldt County, Nevada","Osterberg, Mark W."
Phinisey_1995,"Hofstra, Albert H.",,Nevada,"Jerritt Canyon district, Elko Co.",101,NO,Carlin-type,Au,"Phinisey, Jeffrey D., 1995, Petrography, alteration, and mineralization of igneous dikes of the Jerritt Canyon district, Elko County, Nevada: Reno, University of Nevada, Reno, McKay School of Mines, Masters dissertation, 173 p.",1995,"Petrography, alteration, and mineralization of igneous dikes of the Jerritt Canyon district, Elko County, Nevada","Phinisey, Jeffrey D."
Quillen_2017,"Hofstra, Albert H.",https://scholarworks.unr.edu/handle/11714/1994,Nevada,"Union district, Nye Co.",137,NO,Reduced intrusion-related,Polymetallic sulfide S-R-V-IS,"Quillen, Patrick D., 2017, Buffalo Canyon: An Oligocene greisen-like intrusion-related gold deposit in the Union mining district, Nye County, Nevada: Reno, University of Nevada, M.S. thesis, 191 p., accessed May 21, 2021 at https://scholarworks.unr.edu/handle/11714/1994.",2017,"Buffalo Canyon: An Oligocene greisen-like intrusion-related gold deposit in the Union mining district, Nye County, Nevada","Quillen, Patrick D."
Rayias_1999,"Hofstra, Albert H.",,Nevada,"Red Bird mine, Railroad district, Elko Co.",271,NO,Carlin-type,Au,"Rayias, Alexa C., 1999, Stratigraphy, structural geology, alteration, and geochemistry of the northeastern Railroad District, Elko County, Nevada: Reno, University of Nevada, Reno, Masters dissertation.",1999,"Stratigraphy, structural geology, alteration, and geochemistry of the northeastern Railroad District, Elko County, Nevada","Rayias, Alexa  C."
Rytuba_2005,"John, David A.",,Oregon,Quartz Mountain,23,YES,Porphyry Cu-Mo-Au,Lithocap alunite,"Rytuba, James J., 2020, unpublished USGS National Geochemical Database data from the Quartz Mountain area, OR.",,,
Seeger_2003,"Meighan, Corey",,Missouri,"Boss Fe-Cu deposit, Iron-Dent Cos.",125,NO,IOA-IOCG,IOCG,"Seeger, Cheryl M., 2003, Lithology and alteration assemblages of the Boss iron-copper deposit, Iron and Dent Counties, southeast Missouri: University of Missouri-Rolla, Ph.D. dissertation, 154 p.",2003,"Lithology and alteration assemblages of the Boss iron-copper deposit, Iron and Dent Counties, southeast Missouri","Seeger, Cheryl M."
Shallow_1999,"Hofstra, Albert H.",,Nevada,"Rain mine, Elko Co.",563,NO,Carlin-type,Au,"Shallow, Lori J., 1999, Refractory ores at the Rain mine, Elko County, Nevada: Structural controls, wallrock alterations, petrography, and geochemistry: Reno, University of Nevada, Reno, Masters dissertation, 150 p.",1999,"Refractory ores at the Rain mine, Elko County, Nevada: Structural controls, wallrock alterations, petrography, and geochemistry","Shallow, Lori J."
Slack_2003,"Taylor, Cliff D.",https://doi.org/10.5382/Mono.11,Maine,Bald Mountain massive sulfide deposit,116,YES,Volcanogenic seafloor,Polymetallic sulfide,"Slack, John F., Foose, Michael P., and Flohr, Marta J.K., 2003, Exhalative and subsea-floor replacement processes in the formation of the Bald Mountain massive sulfide deposit, northern Maine: Economic Geology, Monograph 11, pp. 513-547, accessed May 21, 2021 at https://doi.org/10.5382/Mono.11.",2003,"Exhalative and subsea-floor replacement processes in the formation of the Bald Mountain massive sulfide deposit, northern Maine","Slack, John F., Foose, Michael P., and Flohr, Marta J.K."
Slack_2012,"Hofstra, Albert H.",https://doi.org/10.2113/econgeo.107.6.1089,Idaho,Idaho Cobalt Belt,60,YES,IOA-IOCG,"IOCG, Blackbird subtype","Slack, John F., 2012, Strata-bound Fe-Co-Cu-Au-Bi-Y-REE deposits of the Idaho Cobalt Belt: Multistage hydrothermal mineralization in a magmatic-related iron oxide copper-gold system: Economic Geology, v. 107, no. 6, pp. 1089-1113, accessed May 21, 2021 at https://doi.org/10.2113/econgeo.107.6.1089.",2012,Strata-bound Fe-Co-Cu-Au-Bi-Y-REE deposits of the Idaho Cobalt Belt: Multistage hydrothermal mineralization in a magmatic-related iron oxide copper-gold system,"Slack, John F."
Taylor_2003,"Taylor, Cliff D.",https://doi.org/10.3133/ofr03154,Alaska,"Stikine area, southeastern Alaska",45,YES,Volcanogenic seafloor,Polymetallic sulfide,"Taylor, Cliff D., 2003, Descriptions of mineral occurrences and interpretation of mineralized rock geochemical data in the Stikine geophysical survey area, southeastern Alaska: U.S. Geological Survey, Open-File Report 03-154, 87 p., accessed May 21, 2021 at https://doi.org/10.3133/ofr03154.",2003,"Descriptions of mineral occurrences and interpretation of mineralized rock geochemical data in the Stikine geophysical survey area, southeastern Alaska","Taylor, Cliff D."
Taylor_2010,"Taylor, Ryan D.",,California,California orogenic gold,12,NO,Orogenic,Au,"Taylor, Ryan D., 2010, unpublished data from California orogenic gold deposits.",,,
Taylor_2019,"Taylor, Ryan D.",,California,"Idaho-Maryland mine, Grass Valley District, Nevada Co.",75,NO,Orogenic,Au,"Taylor, Ryan D., 2019, unpublished data from Idaho-Maryland mine, Grass Valley, California; from mining company.",,,
VanGosen_2008,"Hofstra, Albert H.",https://doi.org/10.3133/ofr20081119,Colorado,"Iron Hill carbonatite complex, Gunnison Co.",5,YES,Magmatic REE,Carbonatite,"Van Gosen, Bradley S., 2008, Geochemistry of rock samples collected from the Iron Hill carbonatite complex, Gunnison County, Colorado: U.S. Geological Survey Open-File Report 2008-1119, 27 p., accessed May 21, 2021 at https://doi.org/10.3133/ofr20081119.",2008,"Geochemistry of rock samples collected from the Iron Hill carbonatite complex, Gunnison County, Colorado","Van Gosen, Bradley S."
VanGosen_2020a,"Van Gosen, Bradley S.",https://doi.org/10.5066/P9VM6GKF,Arizona,"Grand Canyon region, Mohave and Coconino Cos.",38,YES,Basin brine path,Breccia pipe U,"Van Gosen, Bradley S., Benzel, William M., Kane, Tyler J., and Lowers, Heather A., 2020, Geochemical and mineralogical analyses of uranium ores from the Hack II and Pigeon deposits, solution-collapse breccia pipes, Grand Canyon region, Mohave and Coconino Counties, Arizona, USA: U.S. Geological Survey data release, accessed May 21, 2021 at http://doi.org/10.5066/P9VM6GKF",2020,"Geochemical and mineralogical analyses of uranium ores from the Hack II and Pigeon deposits, solution-collapse breccia pipes, Grand Canyon region, Mohave and Coconino Counties, Arizona","Van Gosen, Bradley S., Benzel, William M., Kane, Tyler J., and Lowers, Heather A."
VanGosen_2020b,"Van Gosen, Bradley S.",https://doi.org/10.5066/P9UUILQI,Arizona,"Grand Canyon region, Coconino Co.",39,YES,Basin brine path,Breccia pipe U,"Van Gosen, Bradley S., Benzel, William M., and Campbell, K.M., 2020, Geochemical and X-ray diffraction analyses of drill core samples from the Canyon uranium-copper deposit, a solution-collapse breccia pipe, Grand Canyon area, Coconino County, Arizona: U.S. Geological Survey data release, accessed May 21, 2021 at https://doi.org/10.5066/P9UUILQI.",2020,"Geochemical and X-ray diffraction analyses of drill core samples from the Canyon uranium-copper deposit, a solution-collapse breccia pipe, Grand Canyon area, Coconino County, Arizona","Van Gosen, Bradley S., Benzel, William M., and Campbell, K.M."
