PARAMETER,PARAMETER_DESC,PARAMETER_COUNT,ANALYTIC_METHOD
Be_ppm_AES_ST,"Beryllium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",383,AES_ST
Be_ppm_ES_SQ,"Beryllium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Be_ppm_LAMS,"Beryllium, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",23,LAMS
Be_ppm_MS_HF,"Beryllium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",504,MS_HF
Be_ppm_MS_ST,"Beryllium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",8,MS_ST
Be_ppm_NA_LC,"Beryllium, in parts per million, by long count instrumental neutron activation; highly questionable that this method was used for Be",252,NA_LC
Bi_ppm_AA_F_Fuse_P,"Bismuth, in parts per million, by flame-atomic absorption spectrophotometry after K2S2O7 fusion partial digestion",8,AA_F_Fuse_P
Bi_ppm_AA_F_HF,"Bismuth, in parts per million, by flame-atomic absorption spectrophotometry after multi-acid digestion with HF",8,AA_F_HF
Bi_ppm_AA_F_HNO3_P,"Bismuth, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with hot HNO3",10,AA_F_HNO3_P
Bi_ppm_AES_AR_P,"Bismuth, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",778,AES_AR_P
Bi_ppm_AES_AZ_P,"Bismuth, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with H2O2-HCl leach and DIBK extract",810,AES_AZ_P
Bi_ppm_AES_Fuse,"Bismuth, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",89,AES_Fuse
Bi_ppm_AES_HF,"Bismuth, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",8770,AES_HF
Bi_ppm_ES_Q,"Bismuth, in parts per million, by quantitative direct-current arc emission spectrography",88,ES_Q
Bi_ppm_ES_SQ,"Bismuth, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Bi_ppm_LAMS,"Bismuth, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",368,LAMS
Bi_ppm_MS_AR_P,"Bismuth, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",245,MS_AR_P
Bi_ppm_MS_AR_UT_P,"Bismuth, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",78,MS_AR_UT_P
Bi_ppm_MS_Fuse,"Bismuth, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",233,MS_Fuse
Bi_ppm_MS_HF,"Bismuth, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10473,MS_HF
Bi_ppm_MS_HF_UT,"Bismuth, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
Bi_ppm_MS_ST,"Bismuth, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
Bi_ppm_NA_LC,"Bismuth, in parts per million, by long count instrumental neutron activation; highly questionable that this method was used for Bi",109,NA_LC
Bi_ppm_WDX_PP,"Bismuth, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",6,WDX_PP
Br_ppm_NA_LC,"Bromine, in parts per million, by long count instrumental neutron activation",88,NA_LC
C_pct_CB_IRC,"Total carbon, in weight percent, by combustion and infrared detector",885,CB_IRC
C_pct_EPMA,"Total carbon, in weight percent, by electron probe microanalysis",97,EPMA
Ca_pct_AA_F_Fuse,"Calcium, in weight percent, by flame-atomic absorption spectrophotometry after LiBO2-Li2B4O7 fusion",3,AA_F_Fuse
Ca_pct_AES_AR_P,"Calcium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",291,AES_AR_P
Ca_pct_AES_Fuse,"Calcium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",797,AES_Fuse
Ca_pct_AES_HF,"Calcium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",19263,AES_HF
Ca_pct_AES_HF_UT,"Calcium, in weight percent, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
Ca_pct_AES_ST,"Calcium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",383,AES_ST
Ca_pct_DCP_Fuse,"Calcium, in weight percent, by direct current plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",109,DCP_Fuse
Ca_pct_EPMA,"Calcium, in weight percent, by electron probe microanalysis",156,EPMA
Ca_pct_ES_SQ,"Calcium, in weight percent, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Ca_pct_MS_AR_P,"Calcium, in weight percent, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",62,MS_AR_P
Ca_pct_MS_HF,"Calcium, in weight percent, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",49,MS_HF
Ca_pct_NA_LC,"Calcium, in weight percent, by long count instrumental neutron activation",77,NA_LC
